node_id,motif_embed,motif_recursive,edge_embed,edge_recursive,louvain,infomap,class1,class2
7,2,4,1,4,3,1,6,4
8,2,4,2,2,4,1,7,4
9,2,4,2,2,4,1,7,4
10,2,4,2,2,4,1,7,4
12,2,4,2,4,3,1,8,4
13,2,4,2,4,4,1,8,4
23,2,4,1,4,3,1,3,1
24,2,4,1,4,3,1,3,1
25,2,4,1,4,3,1,3,1
28,2,4,3,3,1,1,5,3
29,2,4,1,3,3,1,5,3
30,2,4,4,3,2,1,5,3
31,2,4,1,4,3,1,5,3
33,2,4,1,3,2,1,5,3
34,2,4,1,4,3,1,5,3
35,2,4,1,4,3,1,5,3
36,2,4,1,3,3,1,5,3
37,2,4,1,4,3,1,5,3
38,2,4,1,4,3,1,5,3
39,2,4,1,4,3,1,5,3
40,2,4,2,4,4,1,5,3
41,2,4,2,2,4,1,5,3
42,3,3,4,1,2,1,5,3
43,2,4,4,1,2,1,5,3
44,2,4,2,2,4,1,5,3
47,4,3,4,1,2,1,5,3
48,2,4,4,1,2,1,5,3
49,4,3,4,1,2,1,5,3
50,4,3,4,1,2,1,5,3
56,3,1,3,2,1,2,10,6
57,3,1,3,2,1,2,10,6
58,3,1,3,2,1,1,10,6
59,4,3,4,1,2,1,9,5
60,2,4,4,1,2,2,9,5
61,4,3,4,1,2,1,11,7
62,4,4,4,1,2,1,9,5
63,4,4,4,1,2,1,11,7
64,3,1,2,2,1,2,10,6
65,3,1,2,2,1,2,10,6
67,3,1,4,3,2,1,11,7
68,3,1,3,3,1,2,11,7
71,3,1,3,2,1,2,10,6
90,2,4,1,4,3,1,10,6
92,4,4,4,1,2,1,9,5
93,4,3,4,1,3,1,9,5
94,4,3,4,3,3,1,9,5
95,4,4,4,1,2,1,9,5
98,3,1,3,2,1,2,10,6
99,4,4,1,4,2,1,11,7
123,2,4,1,4,3,1,4,2
14,1,2,3,3,1,3,1,1
15,1,2,3,3,1,3,1,1
16,1,2,3,3,1,3,1,1
17,1,2,3,3,1,3,2,1
18,1,2,3,3,1,3,2,1
19,1,2,3,3,1,3,2,1
20,1,2,3,2,1,3,2,1
21,1,2,3,2,1,3,2,1
22,1,2,3,3,1,3,2,1
26,1,2,3,3,1,3,5,3
122,1,2,3,2,1,2,4,2
125,1,2,2,2,4,4,4,2
